selling_price,fuel,km/year,Rent/Own
310000,Petrol,1666,1
420000,Petrol,8000,0
550000,Petrol,5000,1
760000,Diesel,16666,0
250000,Petrol,6666,0
500000,Petrol,625,1
380000,Petrol,2858,1
1850000,Diesel,2500,1
350000,Diesel,8555,0
1125000,Diesel,10833,1
200000,Petrol,3000,0
940000,Diesel,6666,1
400000,Diesel,17142,0
625000,Diesel,13333,0
490000,Diesel,11111,0
275000,Petrol,5000,0
352000,Diesel,12111,0
225000,Diesel,8571,0
600000,Diesel,6285,1
500000,Petrol,13333,0
900000,Petrol,1666,1
600000,Petrol,12200,0
270000,Petrol,2302,0
250000,LPG,11111,0
700000,Petrol,6293,1
650000,Diesel,12694,0
400000,Diesel,6147,0
425000,Diesel,9070,0
600000,Diesel,31040,0
600000,Diesel,11660,0
300000,Diesel,18155,0
450000,Diesel,10018,0
750000,Diesel,14500,0
900000,Diesel,30000,0
350000,Diesel,6666,0
520000,Diesel,11714,0
509999,Diesel,12000,0
556000,Petrol,12000,0
225000,Diesel,17142,0
325000,Diesel,8125,0
365000,Diesel,8125,0
850000,Diesel,14000,0
350000,Diesel,9375,0
225000,Diesel,3571,0
665000,Diesel,112000,0
275000,Petrol,2394,1
2750000,Diesel,10250,1
484999,Diesel,8125,0
565000,Diesel,10833,0
425000,Diesel,7635,0
925000,Diesel,9375,0
565000,Diesel,8000,0
525000,Diesel,9285,0
1650000,Diesel,13750,1
1475000,Petrol,3900,1
1100000,Petrol,2500,1
670000,Petrol,1420,1
750000,Diesel,7662,1
760000,Petrol,9223,1
390000,Diesel,10264,0
425000,Petrol,4236,1
770000,Diesel,12934,0
775000,Petrol,11086,1
2150000,Diesel,8600,1
3800000,Diesel,3333,1
1580000,Diesel,10750,1
4950000,Diesel,15000,1
535000,Diesel,10520,0
550000,Petrol,4972,1
670000,Petrol,1420,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
750000,Diesel,7662,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
385000,Diesel,5777,0
760000,Petrol,9223,1
600000,Diesel,11626,0
3800000,Diesel,3333,1
1580000,Diesel,10750,1
4950000,Diesel,15000,1
535000,Diesel,10520,0
550000,Petrol,4972,1
670000,Petrol,1420,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
750000,Diesel,7662,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
385000,Diesel,5777,0
760000,Petrol,9223,1
600000,Diesel,11626,0
3800000,Diesel,3333,1
1580000,Diesel,10750,1
4950000,Diesel,15000,1
535000,Diesel,10520,0
550000,Petrol,4972,1
670000,Petrol,1420,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
750000,Diesel,7662,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
385000,Diesel,5777,0
760000,Petrol,9223,1
600000,Diesel,11626,0
3800000,Diesel,3333,1
1580000,Diesel,10750,1
4950000,Diesel,15000,1
535000,Diesel,10520,0
550000,Petrol,4972,1
670000,Petrol,1420,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
750000,Diesel,7662,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
385000,Diesel,5777,0
760000,Petrol,9223,1
600000,Diesel,11626,0
900000,Diesel,7000,1
229999,Petrol,1635,1
800000,Diesel,30000,0
600000,Diesel,20000,0
380000,Petrol,2500,1
1600000,Diesel,750,1
425000,Diesel,5000,0
710000,Petrol,2000,1
450000,Petrol,1316,1
210000,Petrol,12500,0
270000,Petrol,5000,0
540000,Petrol,5833,1
360000,Diesel,25812,0
250000,LPG,11075,0
925000,Petrol,5500,1
969999,Diesel,7500,1
900000,Diesel,7500,1
311000,Diesel,14000,0
300000,Petrol,1250,1
600000,Petrol,6666,1
550000,Diesel,8333,0
600000,Petrol,11666,0
250000,Petrol,4750,0
250000,Petrol,4750,0
400000,Petrol,5000,1
600000,Petrol,6000,1
600000,Petrol,2000,1
700000,Diesel,1400,1
250000,Diesel,9090,0
650000,Diesel,16666,0
600000,Diesel,6000,1
250000,Petrol,12000,0
475000,Petrol,10500,0
325000,Diesel,16666,0
639000,Petrol,5641,1
415000,Petrol,8167,0
1199000,Diesel,6018,1
525000,CNG,7028,0
425000,Petrol,7414,0
699000,Diesel,7900,1
325000,Petrol,4412,0
275000,Petrol,5168,0
269000,Petrol,7625,0
399000,Diesel,5506,0
475000,Diesel,11271,0
249000,Petrol,4112,0
1549000,Diesel,6030,1
254999,Petrol,5420,0
269000,Petrol,5838,0
665000,Diesel,8444,0
299000,Petrol,7795,0
550000,Diesel,7142,0
4000000,Diesel,22666,1
500000,Petrol,10000,0
325000,Diesel,7500,0
1200000,Diesel,12500,1
229999,Petrol,10000,0
525000,Petrol,3660,1
325000,Petrol,6876,0
1500000,Diesel,16666,1
400000,Petrol,5000,1
550000,Petrol,11630,0
900000,Diesel,7956,1
700000,Diesel,15000,0
890000,Diesel,8666,1
490000,Diesel,9897,0
525000,Petrol,11729,0
330000,Petrol,6928,0
790000,Diesel,13630,0
1700000,Diesel,18750,1
750000,Diesel,13886,0
409999,Diesel,8077,0
220000,Petrol,8740,0
290000,Petrol,5000,1
600000,Diesel,3926,1
470000,Petrol,4000,1
875000,Petrol,480,1
300000,Petrol,25000,0
2800000,Diesel,5000,1
1330000,Diesel,22798,0
220000,Diesel,6365,0
250000,Diesel,7500,0
919999,Diesel,15000,0
380000,Petrol,12156,0
450000,Diesel,5111,0
770000,Petrol,2000,1
550000,Diesel,26666,0
400000,Petrol,4375,1
450000,Petrol,12500,0
300000,Petrol,10714,0
425000,Diesel,9000,0
350000,Petrol,2400,1
550000,Diesel,3249,1
500000,Petrol,10000,0
600000,Diesel,10000,0
1150000,Diesel,8810,1
475000,Petrol,4100,1
260000,Petrol,2848,0
350000,Petrol,12500,0
750000,Diesel,5248,1
350000,Petrol,1914,1
611000,Diesel,8600,1
325000,Petrol,4625,1
225000,Petrol,5333,0
300000,Petrol,4134,0
711000,Diesel,5955,0
851000,Diesel,8942,1
500000,Petrol,3571,1
450000,Petrol,1666,1
744000,Diesel,26500,0
370000,Petrol,20500,0
350000,Diesel,21666,0
1300000,Diesel,11666,1
550000,Petrol,12500,0
400000,Petrol,3750,1
275000,Petrol,6363,0
285000,Petrol,18000,0
900000,Diesel,16000,0
1700000,Diesel,1666,1
650000,Petrol,5000,1
500000,Petrol,5000,1
320000,Petrol,10000,0
450000,Diesel,15000,0
350000,Diesel,18000,0
400000,Petrol,15000,0
200000,Petrol,3333,1
1200000,Diesel,12500,1
615000,Petrol,13333,0
